Steps,Li*,*Li2S4,*Li2S3,*Li2S2,*LiS4,*LiS3,*LiS2,*2LiS,*LiS,S*,S2*,S3*,S4*,*Li2S,S8*,target
,-1,0,0,0,-1,0,0,0,0,0,0,2,0,1,0,1.193427765
,-1,0,0,1,-1,0,0,0,0,0,2,0,0,0,0,0.62198728
,-1,0,1,0,-1,0,0,0,0,2,0,0,0,0,0,-0.017863455
1,-1,-1,0,1,0,0,2,0,0,0,0,0,0,0,0,0.59242828
2,-1,-1,0,0,0,2,0,0,0,0,0,0,0,1,0,0.49960944
3,-1,-1,1,0,0,0,0,0,2,0,0,0,0,0,0,0.50171277
,-1,0,-1,0,0,0,2,0,0,0,0,0,0,1,0,0.66486216
,-1,0,0,-1,0,0,0,0,2,0,0,0,0,1,0,0.57414665
,-1,0,0,0,0,0,-1,0,0,2,0,0,0,1,0,0.380763215
,-1,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0.52254039
,-1,0,0,0,0,-1,0,0,0,0,2,0,0,1,0,1.04502254
,-1,0,0,0,0,-1,0,0,0,2,0,0,0,0,0,0.473582055
,-1,0,0,2,0,0,-1,0,0,0,0,0,0,0,0,-0.19067727
,-1,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,-0.16837201
,-1,0,0,0,0,0,2,0,0,0,-1,0,0,0,0,-0.54642906
,-1,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0.002706165
,-1,0,0,0,0,2,0,0,0,0,0,-1,0,0,0,-1.210688385
,-1,0,0,0,2,0,0,0,0,0,0,0,-1,0,0,-1.35909361
,-1,0,2,0,0,-1,0,0,0,0,0,0,0,0,0,-0.16626868
,-1,2,0,0,-1,0,0,0,0,0,0,0,0,0,0,-0.51687006
,-1,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,-0.13907101
,-1,0,0,0,0,0,0,0,-1,0,0,0,0,2,0,-0.16837201
,-1,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,-0.16837201
,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-0.16837201
,-1,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,-0.16837201
,-1,0,2,0,0,0,-1,0,0,0,0,0,0,0,0,-0.19067727
,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-0.16837201
,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-0.16837201
,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.19067727
,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.16626868
,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.19067727
,-1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,-0.16626868
,-1,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,-0.19067727
