reactant,product,target
S8*,*Li2S8,-2.074
*Li2S8,*LiS,-0.09
*Li2S8,*LiS2,-0.688
*Li2S8,*LiS3,-1.171
*Li2S8,*LiS4,-1.134
*Li2S8,*LiS5,-0.245
*Li2S8,*LiS6,-0.006
*Li2S8,*LiS7,0.393
*Li2S7,*LiS,-0.046
*Li2S7,*LiS2,-0.413
*Li2S7,*LiS3,-0.893
*Li2S7,*LiS4,-0.542
*Li2S7,*LiS5,0.487
*LiS7,S*,-0.701
*LiS7,S2*,-0.519
*LiS7,S3*,-0.334
*LiS7,S4*,0.165
*LiS7,S5*,0.805
*LiS7,S6*,1.376
*LiS6,S5*,1.204
*LiS6,S4*,0.633
*LiS6,S3*,-0.007
*LiS6,S2*,-0.506
*LiS6,S*,-0.691
*Li2S6,*LiS,0.185
*Li2S6,*LiS2,-0.18
*Li2S6,*LiS3,-0.345
*Li2S6,*LiS4,0.146
*Li2S6,*LiS5,1.108
*Li2S5,*LiS,0.188
*Li2S5,*LiS2,0.137
*Li2S5,*LiS3,0.113
*Li2S5,*LiS4,0.536
*LiS5,S4*,0.804
*LiS5,*LiS4,0.232
*LiS5,S3*,0.232
*LiS5,S2*,-0.408
*LiS5,S*,-0.907
*LiS4,S3*,1.193
*LiS4,S2*,0.622
*LiS4,S*,-0.018
*Li2S4,*LiS2,0.592
*Li2S4,*LiS3,0.5
*Li2S4,*LiS,0.502
*Li2S3,*LiS2,0.665
*Li2S2,*LiS,0.574
*LiS2,S*,0.381
*LiS2,*2LiS,0.523
*LiS3,S2*,1.045
*LiS3,S*,0.474
*LiS2,*Li2S2,-0.191
*LiS,*Li2S2,-0.168
S2*,*LiS2,-0.546
S*,*LiS,0.003
S3*,*LiS3,-1.211
S4*,*LiS4,-1.359
S5*,*LiS5,-0.969
S6*,*LiS6,-1.37
*LiS3,*Li2S3,-0.166
*LiS4,*Li2S4,-0.517
*LiS5,*Li2S5,-1.092
*LiS6,*Li2S6,-0.873
*LiS7,*Li2S7,-0.652
*2LiS,*LiS,-0.139
*LiS,*Li2S,-0.168
*LiS,*Li2S3,-0.168
*LiS,*Li2S5,-0.168
*LiS,*Li2S4,-0.168
*LiS2,*Li2S3,-0.191
*LiS,*Li2S7,-0.168
*LiS,*Li2S6,-0.168
*LiS2,*Li2S6,-0.191
*LiS3,*Li2S5,-0.166
*LiS2,*Li2S5,-0.191
*LiS3,*Li2S4,-0.166
*LiS2,*Li2S4,-0.191
